PyScript, Energy (Joule)
bench_plot_lasso_path_90.py,622.2754350116279
plot_sgd_iris.py,11.06365492016807
plot_optics.py,26.304084385454544
plot_partial_dependence.py,685.6867111883134
bench_lasso.py,148.84710533986436
plot_mean_shift.py,16.30197504651163
bench_tree_n1_4_n2_7.py,97.68739442201833
plot_mds.py,20.76994189932886
plot_lw_vs_oas.py,306.6413968732865
bench_tree_n1_2_n2_12.py,68.75812696969697
bench_plot_lasso_path_75.py,423.98762137384955
plot_custom_kernel.py,11.301818630136985
bench_plot_lasso_path_37.py,289.30482436328873
bench_tree_n1_6_n2_7.py,166.81946493221628
bench_tree_n1_7_n2_7.py,226.3337159869983
plot_iris_exercise.py,37.98772173812155
plot_gpc_iris.py,1073.3498132684272
bench_tree_n1_4_n2_2.py,93.05580719380202
plot_release_highlights_0_24_0.py,207.03085376811592
plot_mlp_alpha.py,722.21017227843
plot_gpc_isoprobability.py,16.401807253112032
plot_svm_margin.py,10.942218818181818
bench_plot_lasso_path_32.py,279.6076477616953
plot_tomography_l1_reconstruction.py,65.87418651322116
bench_plot_lasso_path_145.py,939.9220188344135
plot_feature_selection_pipeline.py,7.921769006369427
plot_agglomerative_clustering.py,32.27123560227273
bench_plot_lasso_path_42.py,284.8866562604462
plot_mahalanobis_distances.py,11.39920820416667
bench_tree_n1_2_n2_2.py,40.043650827661914
plot_feature_union.py,13.133561631205675
bench_tree.py,429.4246197399297
bench_tree_n1_10_n2_2.py,407.5715812617949
plot_robust_fit.py,37.88705570942111
bench_plot_lasso_path_128.py,567.7949438772829
plot_successive_halving_iterations.py,147.90435883175354
plot_train_error_vs_test_error.py,59.39470756050955
bench_plot_lasso_path_89.py,648.0930482734452
plot_gpc_xor.py,251.5232376469443
plot_precision_recall.py,11.817898666666665
bench_plot_lasso_path_45.py,295.01692383327133
bench_plot_lasso_path_27.py,261.1505297051827
plot_unveil_tree_structure.py,11.287547118367348
plot_pca_vs_fa_model_selection.py,13333.928745955582
bench_plot_lasso_path_18.py,244.22804695278026
plot_caching_nearest_neighbors.py,33.32923931076923
bench_plot_lasso_path_33.py,275.41037120118807
bench_plot_lasso_path_15.py,225.07778566470876
plot_digits_last_image.py,11.157686080851065
bench_plot_lasso_path_115.py,330.40230121791046
plot_scalable_poly_kernels.py,205.5043918205188
bench_plot_lasso_path_93.py,604.8944079058823
plot_release_highlights_0_22_0.py,47.53987518037518
plot_digits_kde_sampling.py,72.1849983207086
plot_self_training_varying_threshold.py,69.44181825610482
bench_plot_lasso_path_84.py,535.628017953373
plot_logistic.py,10.57111891
bench_plot_lasso_path_130.py,622.4139697430388
plot_digits_pipe.py,167.12012392156862
bench_tree_n1_1_n2_9.py,46.79685136328124
plot_lasso_model_selection.py,20.750596188235292
module-power-input.txt,1.1333984516129034
plot_beta_divergence.py,13.45056179310345
bench_plot_lasso_path_14.py,233.32439455418384
plot_forest_importances_faces.py,28.56348313186813
bench_plot_lasso_path_36.py,282.5106390023857
plot_forest_iris.py,80.26422480402012
bench_tree_n1_2_n2_4.py,43.65711444335938
plot_validation_curve.py,132.38438927058823
plot_feature_agglomeration_vs_univariate_selection.py,67.72208378783783
plot_iris_dataset.py,11.489869651785714
bench_plot_lasso_path_150.py,1064.143874331944
bench_plot_lasso_path_60.py,243.72871906981982
plot_linearsvc_support_vectors.py,11.806918285714286
plot_compare_calibration.py,21.754768086330934
plot_svm_regression.py,15.449391676300579
plot_changed_only_pprint_parameter.py,6.754831600000001
bench_tree_n1_6_n2_9.py,190.15124931614199
bench_tree_n1_2_n2_5.py,42.96791133599999
bench_plot_lasso_path_126.py,494.2815471990184
Energy_Profiling_on_nano.csv,1.2216881249999998
bench_plot_lasso_path_132.py,527.9578092151385
bench_plot_lasso_path_24.py,236.9510585340314
bench_plot_svd.py,1236.2185931817849
plot_lasso_lars.py,10.774063475982533
plot_agglomerative_dendrogram.py,11.789378636363637
plot_permutation_test_for_classification.py,590.3342990643542
plot_omp.py,19.63931344405594
plot_sparse_coding.py,21.19770831147541
plot_grid_search_refit_callable.py,215.39858327448613
bench_tree_n1_1_n2_5.py,27.84170286707883
plot_compare_methods.py,161.36434778153446
bench_plot_lasso_path_46.py,302.3588194893139
bench_sparsify.py,102.83746891512915
bench_tree_n1_7_n2_9.py,244.0113333011711
bench_plot_lasso_path_55.py,181.82379619909506
bench_plot_lasso_path_118.py,364.2307648767124
bench_plot_lasso_path_6.py,200.2635837355719
bench_plot_lasso_path_136.py,750.2157068137254
bench_plot_lasso_path_68.py,356.81948736237496
bench_plot_lasso_path_94.py,650.6144464481292
plot_gradient_boosting_early_stopping.py,408.0307693073009
bench_tree_n1_8_n2_10.py,310.791214430668
bench_tree_n1_2_n2_11.py,68.66102741666666
